0.32 0.03 -0.011638 0.000705 0.011660
0.33 0.03 -0.012158 0.000687 0.012177
0.34 0.03 -0.012663 0.000666 0.012680
0.35 0.03 -0.013151 0.000643 0.013167
0.35 0.03 -0.013621 0.000618 0.013635
0.36 0.03 -0.014071 0.000591 0.014083
0.38 0.03 -0.014499 0.000561 0.014510
0.39 0.03 -0.014904 0.000529 0.014914
0.40 0.03 -0.015284 0.000494 0.015292
0.41 0.03 -0.015637 0.000457 0.015644
0.42 0.03 -0.015961 0.000418 0.015967
0.42 0.03 -0.016256 0.000377 0.016260
0.43 0.03 -0.016518 0.000334 0.016522
0.45 0.03 -0.016748 0.000289 0.016750
0.46 0.03 -0.016943 0.000241 0.016944
0.47 0.03 -0.017101 0.000192 0.017102
0.48 0.03 -0.017223 0.000141 0.017223
0.48 0.03 -0.017306 0.000089 0.017306
0.49 0.03 -0.017349 0.000035 0.017349
0.51 0.03 -0.017352 -0.000020 0.017352
0.52 0.03 -0.017314 -0.000076 0.017314
0.53 0.03 -0.017235 -0.000132 0.017235
0.54 0.03 -0.017113 -0.000189 0.017114
0.55 0.03 -0.016949 -0.000246 0.016951
0.56 0.03 -0.016743 -0.000303 0.016746
0.57 0.03 -0.016495 -0.000359 0.016499
0.58 0.03 -0.016206 -0.000415 0.016212
0.58 0.03 -0.015877 -0.000469 0.015884
0.59 0.03 -0.015508 -0.000522 0.015517
0.60 0.03 -0.015101 -0.000572 0.015112
0.61 0.03 -0.014658 -0.000621 0.014671
0.62 0.03 -0.014180 -0.000667 0.014195
0.64 0.03 -0.013669 -0.000709 0.013687
0.65 0.03 -0.013128 -0.000748 0.013150
0.66 0.03 -0.012560 -0.000784 0.012585
0.67 0.03 -0.011968 -0.000815 0.011996
0.68 0.03 -0.011354 -0.000842 0.011385
0.69 0.03 -0.010722 -0.000864 0.010757
0.70 0.03 -0.010076 -0.000881 0.010114
0.70 0.03 -0.009419 -0.000892 0.009461
0.71 0.03 -0.008756 -0.000899 0.008802
0.72 0.03 -0.008089 -0.000899 0.008139
0.73 0.03 -0.007424 -0.000895 0.007478
0.74 0.03 -0.006765 -0.000884 0.006822
0.76 0.03 -0.006115 -0.000868 0.006176
0.77 0.03 -0.005479 -0.000846 0.005544
0.78 0.03 -0.004860 -0.000819 0.004928
0.79 0.03 -0.004263 -0.000786 0.004335
0.80 0.03 -0.003691 -0.000749 0.003766
0.81 0.03 -0.003148 -0.000706 0.003226
0.82 0.03 -0.002637 -0.000660 0.002718
